estrato,url,tipo,baths,rooms,area,precio,antiguedad,ciudad,departamento,lat,long
4,https://www.fincaraiz.com.co/habitacion-en-arriendo-popayan/7717015,habitacion,1,1,20.0,600000,16 a 30 años,popayan,cauca,2.43963193893433,-76.6039199829102
4,https://www.fincaraiz.com.co/casa-en-arriendo/191073407,casa,3,3,80.0,1200000,1 a 8 años,popayan,cauca,2.4938887,-76.5679908
4,https://www.fincaraiz.com.co/apartamento-en-arriendo/191294862,apartamento,1,2,58.0,1300000,menor a 1 año,popayan,cauca,2.4521751754002,-76.589483864943
3,https://www.fincaraiz.com.co/apartaestudio-en-arriendo/191196387,apartaestudio,1,1,35.0,450000,1 a 8 años,popayan,cauca,2.4448923,-76.6133751
4,https://www.fincaraiz.com.co/apartaestudio-en-arriendo-popayan/7826664,apartaestudio,1,1,60.0,800000,,popayan,cauca,2.44303488731384,-76.6050338745117
1,https://www.fincaraiz.com.co/apartamento-en-arriendo/191364092,apartamento,1,3,47.0,500000,1 a 8 años,popayan,cauca,2.4448143,-76.6147395
3,https://www.fincaraiz.com.co/local-en-arriendo/10906897,local,1,1,28.0,900000,9 a 15 años,popayan,cauca,2.4610794178241,-76.5858902829484
3,https://www.fincaraiz.com.co/casa-en-arriendo/10015961,casa,2,2,142.0,500000,16 a 30 años,popayan,cauca,2.4773761139901,-76.558184082637
4,https://www.fincaraiz.com.co/apartaestudio-en-arriendo/10884773,apartaestudio,1,1,31.0,650000,9 a 15 años,popayan,cauca,2.44317924046301,-76.608901584601
4,https://www.fincaraiz.com.co/local-en-arriendo/191234449,local,1,,400.0,4000000,1 a 8 años,popayan,cauca,2.4536391,-76.6353237
4,https://www.fincaraiz.com.co/casa-en-arriendo/10974943,casa,4,6,200.0,3200000,9 a 15 años,popayan,cauca,2.44207854007247,-76.6134995547855
5,https://www.fincaraiz.com.co/apartaestudio-en-arriendo/10177784,apartaestudio,1,1,65.0,2850000,1 a 8 años,armenia,quindio,4.5496631,-75.6577717
5,https://www.fincaraiz.com.co/consultorio-en-arriendo/191428426,consultorio,1,,40.0,2200000,1 a 8 años,armenia,quindio,4.5439881,-75.6618444
5,https://www.fincaraiz.com.co/apartamento-en-arriendo/191055964,apartamento,2,2,61.89,2100000,menor a 1 año,armenia,quindio,4.5503245,-75.6539935
5,https://www.fincaraiz.com.co/apartamento-en-arriendo/191185240,apartamento,2,3,68.0,2100000,menor a 1 año,armenia,quindio,4.5388066,-75.662943
2,https://www.fincaraiz.com.co/apartamento-en-arriendo/11090190,apartamento,1,3,65.0,600000,16 a 30 años,armenia,quindio,4.5201261971057,-75.699834823608
5,https://www.fincaraiz.com.co/apartamento-en-arriendo/191220857,apartamento,1,1,37.0,1200000,menor a 1 año,armenia,quindio,4.5388066,-75.662943
5,https://www.fincaraiz.com.co/apartamento-en-arriendo/10684073,apartamento,2,3,67.0,3000000,menor a 1 año,armenia,quindio,4.5656025,-75.6540028
5,https://www.fincaraiz.com.co/apartamento-en-arriendo/191070391,apartamento,3,4,145.0,5000000,menor a 1 año,armenia,quindio,4.5761063,-75.647784
5,https://www.fincaraiz.com.co/apartaestudio-en-arriendo/191298549,apartaestudio,1,1,48.0,1350000,menor a 1 año,armenia,quindio,4.5410799,-75.6641384
5,https://www.fincaraiz.com.co/apartamento-en-arriendo/191055318,apartamento,2,2,67.0,1700000,16 a 30 años,armenia,quindio,4.5495671,-75.6584823
5,https://www.fincaraiz.com.co/local-en-arriendo/191385874,local,1,,35.0,1500000,1 a 8 años,armenia,quindio,4.5363173,-75.6632917
5,https://www.fincaraiz.com.co/apartamento-en-arriendo/191330872,apartamento,2,2,70.0,1900000,1 a 8 años,armenia,quindio,4.5696468586883,-75.651084496571
5,https://www.fincaraiz.com.co/consultorio-en-arriendo/191280786,consultorio,4,,124.0,5726346,16 a 30 años,armenia,quindio,4.544804360814,-75.660776975123
4,https://www.fincaraiz.com.co/apartamento-en-arriendo/10895015,apartamento,2,2,57.0,1550000,,armenia,quindio,4.5761682646802,-75.644817352295
5,https://www.fincaraiz.com.co/casa-campestre-en-arriendo/191330835,casa_campestre,3,3,750.0,5400000,1 a 8 años,armenia,quindio,4.4932466472128,-75.697396097221
4,https://www.fincaraiz.com.co/apartamento-en-arriendo/191250885,apartamento,2,1,50.0,1250000,1 a 8 años,armenia,quindio,4.5653641446404,-75.652503058925
3,https://www.fincaraiz.com.co/apartamento-en-arriendo/10142085,apartamento,2,3,64.0,850000,menor a 1 año,armenia,quindio,4.5107619,-75.6967261
5,https://www.fincaraiz.com.co/apartamento-en-arriendo/191247494,apartamento,2,3,90.0,2200000,9 a 15 años,armenia,quindio,4.5650975906899,-75.654305098212
5,https://www.fincaraiz.com.co/apartamento-en-arriendo/191331098,apartamento,2,3,103.0,3000000,,armenia,quindio,4.5507088835139,-75.653755231055
4,https://www.fincaraiz.com.co/casa-campestre-en-arriendo/10511341,casa_campestre,3,3,253.0,3500000,16 a 30 años,armenia,quindio,4.4759272,-75.708783
2,https://www.fincaraiz.com.co/casa-en-arriendo/11038972,casa,1,2,70.0,600000,16 a 30 años,armenia,quindio,4.5278268919002,-75.695779323578
5,https://www.fincaraiz.com.co/apartamento-en-arriendo/10112842,apartamento,2,3,115.0,2700000,menor a 1 año,armenia,quindio,4.5410803,-75.6641371
5,https://www.fincaraiz.com.co/apartamento-en-arriendo/11059878,apartamento,4,4,170.0,4090000,,armenia,quindio,4.5450314,-75.6621191
5,https://www.fincaraiz.com.co/apartamento-en-arriendo/11010014,apartamento,1,2,43.0,1166000,,armenia,quindio,4.5746983573353,-75.638770190271
4,https://www.fincaraiz.com.co/apartamento-en-arriendo/191330827,apartamento,2,3,71.0,1890000,1 a 8 años,armenia,quindio,4.5489657695134,-75.667844810962
3,https://www.fincaraiz.com.co/oficina-en-arriendo/10913332,oficina,2,1,148.0,2000000,16 a 30 años,armenia,quindio,4.53452518439459,-75.6746171134992
4,https://www.fincaraiz.com.co/apartamento-en-arriendo/10974698,apartamento,1,2,60.0,750000,16 a 30 años,armenia,quindio,4.5359585213997,-75.666638569616
5,https://www.fincaraiz.com.co/apartaestudio-en-arriendo/191370581,apartaestudio,1,1,35.0,1500000,1 a 8 años,armenia,quindio,4.5513199,-75.6583799
4,https://www.fincaraiz.com.co/apartaestudio-en-arriendo/191298959,apartaestudio,1,1,36.0,1200000,1 a 8 años,armenia,quindio,4.5741019,-75.6446796
3,https://www.fincaraiz.com.co/apartamento-en-arriendo/11062983,apartamento,2,3,55.0,1100000,,armenia,quindio,4.5169431003115,-75.716283321417
6,https://www.fincaraiz.com.co/apartamento-en-arriendo/191374780,apartamento,2,3,119.0,2375000,16 a 30 años,armenia,quindio,4.552774001888,-75.657516938623
4,https://www.fincaraiz.com.co/casa-en-arriendo/10830676,casa,7,7,900.0,8000000,1 a 8 años,armenia,quindio,4.5363173,-75.6632917
5,https://www.fincaraiz.com.co/casa-en-arriendo/191279418,casa,4,7,230.0,4500000,9 a 15 años,armenia,quindio,4.5547634302438,-75.658247177189
3,https://www.fincaraiz.com.co/casa-en-arriendo/191364938,casa,3,3,82.0,1850000,1 a 8 años,armenia,quindio,4.5280498913466,-75.678650832568
2,https://www.fincaraiz.com.co/apartamento-en-arriendo/191315264,apartamento,1,2,48.0,700000,1 a 8 años,armenia,quindio,4.5037305,-75.6934069
5,https://www.fincaraiz.com.co/apartamento-en-arriendo/191219884,apartamento,2,3,59.47,2100000,menor a 1 año,armenia,quindio,4.5388066,-75.662943
5,https://www.fincaraiz.com.co/apartamento-en-arriendo/10238599,apartamento,3,3,60.0,2500000,1 a 8 años,armenia,quindio,4.558419,-75.660368
6,https://www.fincaraiz.com.co/apartamento-en-arriendo/191331200,apartamento,4,4,264.0,11050000,1 a 8 años,armenia,quindio,4.5469904,-75.6545127
4,https://www.fincaraiz.com.co/casa-campestre-en-arriendo/11115220,casa_campestre,6,4,225.0,4500000,1 a 8 años,armenia,quindio,4.4744123373984,-75.75747013092
5,https://www.fincaraiz.com.co/apartamento-en-arriendo/191104656,apartamento,2,2,59.18,1550000,menor a 1 año,armenia,quindio,4.5612727920341,-75.656994963354
5,https://www.fincaraiz.com.co/apartamento-en-arriendo/10684189,apartamento,2,2,67.0,3300000,1 a 8 años,armenia,quindio,4.5761063,-75.647784
5,https://www.fincaraiz.com.co/apartaestudio-en-arriendo/191402945,apartaestudio,1,1,35.0,850000,1 a 8 años,armenia,quindio,4.5666023,-75.6523172
110,https://www.fincaraiz.com.co/local-en-arriendo/191412749,local,2,,67.0,3000000,16 a 30 años,armenia,quindio,4.5537733,-75.6576386
3,https://www.fincaraiz.com.co/apartamento-en-arriendo/191333815,apartamento,2,2,59.0,950000,1 a 8 años,armenia,quindio,4.5386551,-75.6972821
3,https://www.fincaraiz.com.co/apartamento-en-arriendo/191333822,apartamento,2,3,58.0,1000000,1 a 8 años,armenia,quindio,4.5166226,-75.7137153
3,https://www.fincaraiz.com.co/apartamento-en-arriendo/191367095,apartamento,1,3,70.0,900000,16 a 30 años,armenia,quindio,4.5400495,-75.6747413
3,https://www.fincaraiz.com.co/casa-en-arriendo/191237625,casa,3,3,74.0,650000,1 a 8 años,armenia,quindio,4.5410254,-75.7011721
3,https://www.fincaraiz.com.co/apartamento-en-arriendo/191256181,apartamento,1,2,48.0,700000,1 a 8 años,armenia,quindio,4.533349,-75.6948394
5,https://www.fincaraiz.com.co/apartamento-en-arriendo/10684114,apartamento,2,2,55.0,2700000,1 a 8 años,armenia,quindio,4.5606885,-75.6520684
3,https://www.fincaraiz.com.co/apartamento-en-arriendo/191392517,apartamento,1,2,48.0,850000,1 a 8 años,armenia,quindio,4.54152,-75.67447
110,https://www.fincaraiz.com.co/local-en-arriendo/191373138,local,1,1,22.0,1000000,1 a 8 años,armenia,quindio,0,0
3,https://www.fincaraiz.com.co/apartamento-en-arriendo/191226310,apartamento,2,3,66.0,1500000,1 a 8 años,armenia,quindio,4.5171926,-75.71535
5,https://www.fincaraiz.com.co/apartamento-en-arriendo/191430399,apartamento,2,3,65.0,1757000,,armenia,quindio,4.5505862435597,-75.6645154953
5,https://www.fincaraiz.com.co/oficina-en-arriendo/191314347,oficina,1,,15.5,950000,9 a 15 años,armenia,quindio,4.54937,-75.66175
5,https://www.fincaraiz.com.co/oficina-en-arriendo/191073376,oficina,1,,21.0,2000000,1 a 8 años,armenia,quindio,4.54883,-75.6643
3,https://www.fincaraiz.com.co/casa-en-arriendo/191272563,casa,2,3,81.0,1000000,9 a 15 años,armenia,quindio,4.5422081,-75.6913799
6,https://www.fincaraiz.com.co/apartaestudio-en-arriendo/11052227,apartaestudio,2,1,55.0,2500000,menor a 1 año,armenia,quindio,4.547,-75.655
5,https://www.fincaraiz.com.co/apartaestudio-en-arriendo/191090840,apartaestudio,1,1,40.0,1300000,1 a 8 años,armenia,quindio,4.5518008,-75.6581835
5,https://www.fincaraiz.com.co/apartaestudio-en-arriendo/10957441,apartaestudio,2,1,51.0,1400000,1 a 8 años,armenia,quindio,4.54883,-75.6643
5,https://www.fincaraiz.com.co/oficina-en-arriendo-armenia/7196266,oficina,1,1,34.0,1600000,menor a 1 año,armenia,quindio,4.54948806762695,-75.663200378418
5,https://www.fincaraiz.com.co/consultorio-en-arriendo/191138926,consultorio,1,,38.0,1880000,menor a 1 año,armenia,quindio,4.5611241,-75.6523306
5,https://www.fincaraiz.com.co/apartaestudio-en-arriendo/191223328,apartaestudio,1,1,41.0,950000,1 a 8 años,armenia,quindio,4.5780635,-75.6447974
3,https://www.fincaraiz.com.co/bodega-en-arriendo/11089027,bodega,,,500.0,6500000,1 a 8 años,armenia,quindio,4.54,-75.669
5,https://www.fincaraiz.com.co/apartamento-en-arriendo/191380132,apartamento,1,2,60.0,1200000,16 a 30 años,armenia,quindio,4.5593271,-75.6605638
5,https://www.fincaraiz.com.co/local-en-arriendo/10217757,local,1,1,300.0,6300000,1 a 8 años,armenia,quindio,4.55776387404836,-75.6604481095093
5,https://www.fincaraiz.com.co/local-en-arriendo/191430280,local,,,149.0,6750000,1 a 8 años,armenia,quindio,4.5651825,-75.6500149
5,https://www.fincaraiz.com.co/apartamento-en-arriendo/191181270,apartamento,5,5,364.0,5700000,1 a 8 años,armenia,quindio,4.5652644,-75.6539823
5,https://www.fincaraiz.com.co/apartaestudio-en-arriendo/191318768,apartaestudio,1,1,30.0,850000,1 a 8 años,armenia,quindio,4.558419,-75.660368
3,https://www.fincaraiz.com.co/apartamento-en-arriendo/191319195,apartamento,1,2,44.0,750000,1 a 8 años,armenia,quindio,4.5342701,-75.7018571
3,https://www.fincaraiz.com.co/apartamento-en-arriendo/10656262,apartamento,1,2,53.0,1100000,1 a 8 años,armenia,quindio,4.5420556,-75.673512
3,https://www.fincaraiz.com.co/local-en-arriendo/10270517,local,1,1,25.0,850000,1 a 8 años,armenia,quindio,4.5211742,-75.6889096
5,https://www.fincaraiz.com.co/local-en-arriendo/191430464,local,1,,43.0,2300000,,armenia,quindio,4.5592458,-75.6453162
3,https://www.fincaraiz.com.co/local-en-arriendo/10974569,local,1,1,25.0,850000,1 a 8 años,armenia,quindio,4.52095765625827,-75.6887614309357
5,https://www.fincaraiz.com.co/apartamento-en-arriendo/10875765,apartamento,2,1,63.0,1900000,1 a 8 años,armenia,quindio,4.549968365836,-75.655988033701
5,https://www.fincaraiz.com.co/casa-en-arriendo/191410260,casa,3,5,270.0,3600000,más de 30 años,armenia,quindio,4.5465333808696,-75.665451004507
