estrato,url,tipo,baths,rooms,area,precio,antiguedad,ciudad,departamento,lat,long
5,https://www.ciencuadras.com//inmueble/consultorio-en-arriendo-en-alcazar-armenia-3095469,consultorio,3,0,74.0,3600000,14,armenia,quindío,4.5448599,-75.660594
4,https://www.ciencuadras.com//inmueble/apartaestudio-en-arriendo-en-a-s-d--armenia-3001311,apartaestudio,1,1,45.0,700000,2,armenia,quindío,4.5718690088483,-75.6471991539
5,https://www.ciencuadras.com//inmueble/apartamento-en-arriendo-en-asentamiento-simon-bolivar-armenia-3020396,apartamento,2,2,55.0,1800000,0,armenia,quindío,4.54165924,-75.66309846
5,https://www.ciencuadras.com//inmueble/casa-en-arriendo-en-armenia-armenia-3073479,casa,3,3,125.0,1600000,1,armenia,quindío,4.53598,-75.680787
,https://www.ciencuadras.com//inmueble/casa-campestre-en-arriendo-en-armenia-armenia-3068603,casa_campestre,6,4,225.0,4500000,8,armenia,quindío,4.4744123373984,-75.75747013092
5,https://www.ciencuadras.com//inmueble/apartamento-en-arriendo-en-la-lorena-armenia-3064410,apartamento,2,2,57.0,1800000,4,armenia,quindío,4.5490219442127,-75.659139588497
3,https://www.ciencuadras.com//inmueble/local-en-arriendo-en-a-s-d--armenia-3102235,local,1,0,32.5,2300000,34,armenia,quindío,4.5639816254334,-75.651125907898
5,https://www.ciencuadras.com//inmueble/apartaestudio-en-arriendo-en-fundadores-armenia-3093422,apartaestudio,1,1,37.0,1616000,1,armenia,quindío,4.546521857787,-75.661520711622
4,https://www.ciencuadras.com//inmueble/apartamento-en-arriendo-en-cr-iberica-armenia-3086657,apartamento,2,3,59.0,1300000,0,armenia,quindío,4.5363173,-75.6632917
5,https://www.ciencuadras.com//inmueble/local-en-arriendo-en-armenia-armenia-2969888,local,0,0,22.5,2550000,2,armenia,quindío,4.4501317034188,-75.722579956055
5,https://www.ciencuadras.com//inmueble/local-en-arriendo-en-fundadores-armenia-2968611,local,1,0,60.0,2825000,24,armenia,quindío,4.54432201,-75.66154288
3,https://www.ciencuadras.com//inmueble/apartamento-en-arriendo-en-alamos-armenia-3009095,apartamento,1,2,64.0,1370000,3,armenia,quindío,4.54234742,-75.67417065
5,https://www.ciencuadras.com//inmueble/apartaestudio-en-arriendo-en-cr--mirador-de-los-ocobos-armenia-3077471,apartaestudio,1,1,35.0,1585000,3,armenia,quindío,4.5677956146307,-75.654871491527
5,https://www.ciencuadras.com//inmueble/apartamento-en-arriendo-en-cr-santa-clara-armenia-3099408,apartamento,2,3,69.0,1900000,1,armenia,quindío,4.5658778139138,-75.653874925112
5,https://www.ciencuadras.com//inmueble/apartamento-en-arriendo-en-ub-quintas-de-san-miguel-armenia-3086353,apartamento,3,3,110.0,2800000,9,armenia,quindío,4.5607954,-75.651879
5,https://www.ciencuadras.com//inmueble/apartamento-en-arriendo-en-los-profesionales-armenia-2980686,apartamento,2,3,140.0,2060000,40,armenia,quindío,4.54887777,-75.66551588
5,https://www.ciencuadras.com//inmueble/apartamento-en-arriendo-en-sector-fogata-armenia-2969686,apartamento,4,4,150.0,4525240,28,armenia,quindío,4.55415742,-75.65710497
,https://www.ciencuadras.com//inmueble/casa-campestre-en-arriendo-en-armenia-armenia-2961897,casa_campestre,7,4,325.0,7600000,16,armenia,quindío,4.4643542125705,-75.740624316573
,https://www.ciencuadras.com//inmueble/casa-campestre-en-arriendo-en-armenia-armenia-2814447,casa_campestre,6,5,350.0,5000000,10,armenia,quindío,4.53598,-75.680787
5,https://www.ciencuadras.com//inmueble/apartaestudio-en-arriendo-en-parque-residencial-cocora-armenia-2898299,apartaestudio,1,1,35.0,2100001,9,armenia,quindío,4.5505894,-75.66461683
5,https://www.ciencuadras.com//inmueble/local-en-arriendo-en-cn--altos-del-bosque-armenia-2915781,local,2,0,160.0,9400000,7,armenia,quindío,4.55922135,-75.6589111
5,https://www.ciencuadras.com//inmueble/local-en-arriendo-en-cn--altos-del-bosque-armenia-2927756,local,2,0,92.0,5800000,7,armenia,quindío,4.55922135,-75.6589111
5,https://www.ciencuadras.com//inmueble/apartaestudio-en-arriendo-en-cr-terranova-armenia-3066296,apartaestudio,1,1,37.0,1476000,0,armenia,quindío,4.5654735507103,-75.65397977829
5,https://www.ciencuadras.com//inmueble/apartamento-en-arriendo-en-la-campina-armenia-3066118,apartamento,2,2,61.89,2000000,0,armenia,quindío,4.5507573637837,-75.653786659241
5,https://www.ciencuadras.com//inmueble/apartamento-en-arriendo-en-alcazar-armenia-3089236,apartamento,2,3,150.0,4197000,34,armenia,quindío,4.5467841555937,-75.661435118014
3,https://www.ciencuadras.com//inmueble/local-en-arriendo-en-armenia-armenia-2976552,local,0,0,54.0,3220000,4,armenia,quindío,4.53598,-75.680787
4,https://www.ciencuadras.com//inmueble/local-en-arriendo-en-la-nueva-cecilia-armenia-2969977,local,2,0,150.0,4550000,32,armenia,quindío,4.54800562,-75.66222494
5,https://www.ciencuadras.com//inmueble/oficina-en-arriendo-en-la-lorena-armenia-2955212,oficina,1,0,30.0,1800000,14,armenia,quindío,4.54915795,-75.66002515
5,https://www.ciencuadras.com//inmueble/apartamento-en-arriendo-en-sector-fogata-armenia-3030965,apartamento,3,4,126.25,2800000,35,armenia,quindío,4.5559665386452,-75.657400278233
5,https://www.ciencuadras.com//inmueble/casa-en-arriendo-en-a-s-d--armenia-2755181,casa,2,1,120.0,2500000,19,armenia,quindío,4.54123141,-75.66392053
5,https://www.ciencuadras.com//inmueble/local-en-arriendo-en-fundadores-armenia-2899536,local,1,0,116.64,8700000,24,armenia,quindío,4.54140235,-75.66302103
6,https://www.ciencuadras.com//inmueble/bodega-en-arriendo-en-armenia-armenia-2952842,bodega,7,0,3217.0,65400000,13,armenia,quindío,4.53598,-75.680787
5,https://www.ciencuadras.com//inmueble/local-en-arriendo-en-br-parque-residencial-santa-barbara-armenia-2954567,local,3,0,300.0,3500000,24,armenia,quindío,4.56464385,-75.65038358
4,https://www.ciencuadras.com//inmueble/oficina-en-arriendo-en-sector-centro-armenia-2955183,oficina,1,0,31.0,1090000,24,armenia,quindío,4.53424095,-75.6726182
5,https://www.ciencuadras.com//inmueble/casa-en-arriendo-en-br-primero-de-mayo-armenia-3071346,casa,3,3,270.0,6730000,7,armenia,quindío,4.53309,-75.69643
5,https://www.ciencuadras.com//inmueble/apartamento-en-arriendo-en-la-lorena-armenia-3019712,apartamento,2,1,63.0,1900000,8,armenia,quindío,4.55030661,-75.65640819
3,https://www.ciencuadras.com//inmueble/apartamento-en-arriendo-en-sector-centro-armenia-2476810,apartamento,1,1,20.0,400000,20,armenia,quindío,4.5350004,-75.6756888
4,https://www.ciencuadras.com//inmueble/local-en-arriendo-en-fundadores-armenia-2508891,local,0,0,8.0,500000,20,armenia,quindío,4.54285403,-75.6638087
3,https://www.ciencuadras.com//inmueble/apartamento-en-arriendo-en-sector-centro-armenia-3086243,apartamento,2,2,54.0,1100000,2,armenia,quindío,4.5350004,-75.6756888
4,https://www.ciencuadras.com//inmueble/apartamento-en-arriendo-en-sector-centro-armenia-3083820,apartamento,2,4,120.0,1300000,54,armenia,quindío,4.5350004,-75.6756888
3,https://www.ciencuadras.com//inmueble/apartamento-en-arriendo-en-br-el-poblado-i-etapa-armenia-3062307,apartamento,2,3,56.0,850000,3,armenia,quindío,4.5156965,-75.7173506
5,https://www.ciencuadras.com//inmueble/apartamento-en-arriendo-en-los-profesionales-armenia-3060779,apartamento,3,3,92.0,2280000,2,armenia,quindío,4.5486754851317,-75.663522036246
5,https://www.ciencuadras.com//inmueble/apartamento-en-arriendo-en-sector-centro-armenia-3065877,apartamento,2,2,52.0,1500000,2014,armenia,quindío,4.5350004,-75.6756888
4,https://www.ciencuadras.com//inmueble/apartamento-en-arriendo-en-asentamiento-simon-bolivar-armenia-3083822,apartamento,2,2,55.0,1650000,0,armenia,quindío,4.5388066,-75.662943
3,https://www.ciencuadras.com//inmueble/apartamento-en-arriendo-en-sector-centro-armenia-3026690,apartamento,1,3,47.0,600000,9,armenia,quindío,4.5350004,-75.6756888
4,https://www.ciencuadras.com//inmueble/casa-en-arriendo-en-sector-parque-valencia-armenia-2425504,casa,2,3,106.0,2000000,12,armenia,quindío,4.53805019,-75.67624536
5,https://www.ciencuadras.com//inmueble/apartamento-en-arriendo-en-los-profesionales-armenia-2501235,apartamento,2,2,81.0,1650000,1,armenia,quindío,4.548505215862,-75.66402973775
5,https://www.ciencuadras.com//inmueble/apartamento-en-arriendo-en-puerto-rico-armenia-2881545,apartamento,2,3,70.0,1700000,3,armenia,quindío,4.56407039,-75.65056965
5,https://www.ciencuadras.com//inmueble/apartamento-en-arriendo-en-puerto-rico-armenia-2409706,apartamento,2,3,70.0,1500000,3,armenia,quindío,4.56407039,-75.65056965
4,https://www.ciencuadras.com//inmueble/local-en-arriendo-en-sector-centro-armenia-2413959,local,1,0,31.0,900000,20,armenia,quindío,4.53371701,-75.67315477
3,https://www.ciencuadras.com//inmueble/apartamento-en-arriendo-en-sector-parque-valencia-armenia-2012931,apartamento,2,3,66.0,1150000,6,armenia,quindío,4.53805019,-75.67624536
6,https://www.ciencuadras.com//inmueble/local-en-arriendo-en-urbanizacion-coinca-armenia-1958813,local,1,0,38.0,1200000,30,armenia,quindío,4.5583022,-75.65420626
3,https://www.ciencuadras.com//inmueble/apartamento-en-arriendo-en-antonio-narino-armenia-2617009,apartamento,2,3,63.0,720000,5,armenia,quindío,4.52484973,-75.70735768
5,https://www.ciencuadras.com//inmueble/local-en-arriendo-en-maria-cristina-iii-armenia-2618435,local,0,0,20.0,1600000,1,armenia,quindío,4.53316561,-75.66609967
5,https://www.ciencuadras.com//inmueble/apartamento-en-arriendo-en-cr--altos-de-la-sierra-armenia-2682968,apartamento,1,2,47.0,2000000,5,armenia,quindío,4.55848454,-75.65926424
5,https://www.ciencuadras.com//inmueble/casa-en-arriendo-en-sector-centro-armenia-3064612,casa,6,5,650.0,7862900,15,armenia,quindío,4.535,-75.676
3,https://www.ciencuadras.com//inmueble/casa-en-arriendo-en-br-recreo-armenia-3061347,casa,2,3,129.15,1200000,45,armenia,quindío,4.536019485543,-75.682582855225
3,https://www.ciencuadras.com//inmueble/oficina-en-arriendo-en-sector-centro-armenia-2066084,oficina,1,0,15.0,450000,2014,armenia,quindío,4.53521457,-75.67504711
5,https://www.ciencuadras.com//inmueble/oficina-en-arriendo-en-armenia-armenia-2330635,oficina,1,0,34.0,1600000,0,armenia,quindío,4.549497381583797,-75.66314922040165
4,https://www.ciencuadras.com//inmueble/oficina-en-arriendo-en-sector-centro-armenia-2324858,oficina,0,0,10.0,300000,15,armenia,quindío,4.5314603,-75.6727445
6,https://www.ciencuadras.com//inmueble/local-en-arriendo-o-venta-en-ub-los-tulipanes-armenia-2918681,local,1,0,27.5,1539000,9,armenia,quindío,4.5575768780284,-75.660530769229
4,https://www.ciencuadras.com//inmueble/apartamento-en-arriendo-en-florida-alto-armenia-2918759,apartamento,2,3,152.0,2000000,23,armenia,quindío,4.53877149,-75.66768751
5,https://www.ciencuadras.com//inmueble/local-en-arriendo-en-urbanizacion-el-eden-de-la-victoria-armenia-3092934,local,0,0,105.0,8000000,0,armenia,quindío,4.5737499991145,-75.646316172788
5,https://www.ciencuadras.com//inmueble/consultorio-en-arriendo-en-br-fundadores-armenia-3106077,consultorio,1,0,40.0,2200000,4,armenia,quindío,4.5439881,-75.6618444
5,https://www.ciencuadras.com//inmueble/apartaestudio-en-arriendo-en-la-lorena-armenia-3056028,apartaestudio,1,1,32.0,1500000,4,armenia,quindío,4.5493943414954,-75.658204550266
4,https://www.ciencuadras.com//inmueble/apartamento-en-arriendo-en-armenia-armenia-2599984,apartamento,3,3,92.3,1900000,2,armenia,quindío,4.53598,-75.680787
5,https://www.ciencuadras.com//inmueble/apartamento-en-arriendo-en-la-lorena-armenia-2806428,apartamento,5,4,381.0,8240000,24,armenia,quindío,4.55176788,-75.65650689
4,https://www.ciencuadras.com//inmueble/local-en-arriendo-en-sector-centro-armenia-2866430,local,0,0,50.48,2000000,2,armenia,quindío,4.53307735,-75.66614252
